"open","high","low","close","pre_close","change","pct_chg","vol","amount","ud"
13.75,13.88,13.68,13.69,13.86,-0.17,-1.2266,621461.93,854854.041,1
17.23,17.4,17.16,17.18,17.22,-0.04,-0.2323,369424.1,637672.052,0
9.91,9.91,9.67,9.68,9.9,-0.22,-2.2222,9611.0,9380.704,1
1.79,1.79,1.76,1.77,1.79,-0.02,-1.1173,38460.0,6834.349,1
5.92,5.97,5.69,5.72,5.88,-0.16,-2.7211,533276.23,308984.472,1
7.67,7.68,7.56,7.58,7.62,-0.04,-0.5249,42074.5,32021.087,1
2.55,2.58,2.51,2.53,2.54,-0.01,-0.3937,377053.47,95738.245,1
12.42,12.46,12.22,12.28,12.44,-0.16,-1.2862,196140.08,241493.894,1
3.33,3.34,3.26,3.27,3.33,-0.06,-1.8018,70586.19,23245.439,1
11.5,11.62,11.38,11.39,11.46,-0.07,-0.6108,45792.34,52518.381,1
6.94,6.96,6.88,6.9,6.95,-0.05,-0.7194,148926.12,103001.299,1
10.21,10.21,10.02,10.04,10.14,-0.1,-0.9862,41894.2,42289.518,1
4.81,4.88,4.8,4.81,4.85,-0.04,-0.8247,85842.44,41508.545,1
4.95,4.95,4.8,4.82,4.96,-0.14,-2.8226,92015.0,44587.903,1
8.35,8.41,8.23,8.23,8.37,-0.14,-1.6726,243515.22,201984.863,1
10.01,10.03,9.72,9.9,10.07,-0.17,-1.6882,123236.17,121555.856,1
12.36,12.53,12.22,12.27,12.45,-0.18,-1.4458,104183.61,128691.814,1
11.52,11.57,11.22,11.28,11.51,-0.23,-1.9983,11997.0,13607.951,1
18.8,18.9,18.58,18.65,18.82,-0.17,-0.9033,39801.72,74491.288,1
11.53,11.59,11.41,11.53,11.54,-0.01,-0.0867,34385.27,39513.092,1
6.19,6.21,6.14,6.18,6.2,-0.02,-0.3226,84250.76,52012.355,1
36.82,37.14,36.52,36.82,37.02,-0.2,-0.5402,18561.61,68161.694,1
12.6,12.6,12.14,12.18,12.48,-0.3,-2.4038,49310.65,60360.009,1
5.15,5.26,5.15,5.19,5.21,-0.02,-0.3839,70184.78,36646.618,1
3.78,3.78,3.69,3.7,3.73,-0.03,-0.8043,112437.37,41983.813,1
25.01,25.7,24.4,25.03,25.5,-0.47,-1.8431,207175.4,519682.36,1
26.89,27.49,26.25,26.3,27.01,-0.71,-2.6287,458784.78,1230647.014,1
5.4,5.42,5.26,5.28,5.41,-0.13,-2.403,226161.73,120300.84,1
3.98,4.0,3.96,3.96,3.98,-0.02,-0.5025,52487.4,20884.203,1
8.29,8.29,8.11,8.18,8.29,-0.11,-1.3269,28279.0,23229.298,1
4.01,4.04,3.97,3.98,4.01,-0.03,-0.7481,29327.0,11735.337,0
7.63,7.65,7.53,7.57,7.67,-0.1,-1.3038,101580.18,77031.208,1
4.23,4.28,4.2,4.23,4.23,0.0,0.0,180440.3,76617.934,1
8.69,8.85,8.66,8.68,8.67,0.01,0.1153,52488.07,45781.953,1
11.11,11.11,10.92,10.97,11.11,-0.14,-1.2601,51759.01,56900.646,1
1.18,1.18,1.16,1.16,1.18,-0.02,-1.6949,336339.02,39370.231,1
21.36,21.98,21.1,21.79,21.36,0.43,2.0131,35427.79,77121.412,0
44.96,45.73,44.82,45.05,44.96,0.09,0.2002,36220.13,163726.975,0
9.56,9.63,9.41,9.47,9.58,-0.11,-1.1482,75096.97,71471.398,1
5.13,5.16,5.08,5.08,5.15,-0.07,-1.3592,65474.0,33483.044,1
4.67,4.74,4.61,4.67,4.7,-0.03,-0.6383,157103.71,73202.409,1
7.38,7.4,7.06,7.1,7.43,-0.33,-4.4415,310804.17,223309.436,0
2.75,2.75,2.71,2.71,2.74,-0.03,-1.0949,402859.0,109803.28,1
5.87,5.87,5.79,5.8,5.89,-0.09,-1.528,151449.75,88255.381,1
53.37,54.88,51.43,51.48,53.36,-1.88,-3.5232,77900.37,408055.83,1
9.6,9.65,9.33,9.4,9.68,-0.28,-2.8926,140457.0,133068.476,1
10.39,10.4,10.1,10.1,10.52,-0.42,-3.9924,114003.39,116352.176,1
6.53,6.53,6.38,6.38,6.53,-0.15,-2.2971,38566.01,24869.443,1
13.06,13.11,12.75,12.83,13.07,-0.24,-1.8363,117969.58,151961.116,1
5.1,5.11,4.96,4.96,5.13,-0.17,-3.3138,166134.0,83743.033,1
9.36,9.36,9.2,9.22,9.37,-0.15,-1.6009,35444.0,32845.879,1
3.62,3.67,3.6,3.62,3.64,-0.02,-0.5495,446601.15,161962.076,0
2.85,2.86,2.82,2.83,2.86,-0.03,-1.049,110427.51,31353.342,1
1.77,1.79,1.76,1.77,1.77,0.0,0.0,666907.28,118423.553,1
6.28,6.4,6.18,6.21,6.29,-0.08,-1.2719,160362.88,100634.892,1
12.16,12.16,11.84,11.86,12.18,-0.32,-2.6273,124134.75,148172.497,0
6.91,6.97,6.78,6.84,6.9,-0.06,-0.8696,189049.0,129711.158,1
2.8,2.84,2.8,2.84,2.8,0.04,1.4286,141786.94,40056.515,0
3.04,3.06,3.02,3.03,3.04,-0.01,-0.3289,62334.72,18937.614,1
7.61,7.66,7.47,7.6,7.76,-0.16,-2.0619,42965.1,32432.257,1
7.11,7.13,7.02,7.04,7.14,-0.1,-1.4006,24188.78,17123.066,1
20.0,20.49,19.54,19.83,19.23,0.6,3.1201,339405.74,678767.952,0
2.35,2.4,2.34,2.35,2.35,0.0,0.0,130001.0,30730.325,1
6.06,6.11,5.99,6.03,6.08,-0.05,-0.8224,20152.0,12197.742,1
18.32,18.59,18.23,18.52,18.32,0.2,1.0917,249540.8,461243.47,0
7.39,7.43,7.19,7.24,7.33,-0.09,-1.2278,19930.0,14564.352,1
5.98,5.99,5.83,5.84,5.97,-0.13,-2.1776,51029.74,30019.867,1
5.67,5.71,5.62,5.69,5.66,0.03,0.53,72568.59,41201.224,1
7.46,7.46,7.25,7.26,7.44,-0.18,-2.4194,101360.1,74155.054,1
13.37,13.68,13.22,13.51,13.48,0.03,0.2226,194901.4,262632.009,0
1.83,1.84,1.82,1.84,1.84,0.0,0.0,37157.94,6804.392,1
9.45,9.53,9.4,9.48,9.45,0.03,0.3175,10544.0,9998.983,0
1.38,1.41,1.35,1.35,1.41,-0.06,-4.2553,138867.0,19101.519,1
4.65,4.72,4.46,4.48,4.62,-0.14,-3.0303,124358.75,56413.818,1
5.88,5.88,5.65,5.66,5.88,-0.22,-3.7415,291052.97,166173.646,1
4.54,4.56,4.49,4.51,4.55,-0.04,-0.8791,151678.54,68650.909,1
5.36,5.42,5.3,5.36,5.36,0.0,0.0,50830.02,27266.354,1
6.02,6.06,5.95,5.97,6.01,-0.04,-0.6656,26487.0,15872.839,1
8.94,8.95,8.82,8.87,8.94,-0.07,-0.783,45008.25,40034.472,1
2.74,2.75,2.7,2.72,2.74,-0.02,-0.7299,166018.0,45161.905,1
2.75,2.76,2.71,2.71,2.76,-0.05,-1.8116,148615.0,40504.963,1
10.81,11.21,10.8,10.95,10.76,0.19,1.7658,1037286.2,1143003.043,0
5.85,5.89,5.78,5.81,5.85,-0.04,-0.6838,116608.01,68053.017,1
24.34,24.83,24.1,24.55,24.43,0.12,0.4912,71461.92,175056.848,1
4.12,4.17,4.11,4.11,4.14,-0.03,-0.7246,2075868.0,858492.027,1
8.54,8.58,8.48,8.54,8.51,0.03,0.3525,48126.0,41062.503,1
2.17,2.18,2.14,2.15,2.18,-0.03,-1.3761,210605.0,45369.124,1
7.0,7.05,6.96,6.99,7.08,-0.09,-1.2712,340513.61,238396.397,1
13.3,13.4,13.18,13.3,13.38,-0.08,-0.5979,230727.84,306425.704,1
8.67,8.87,8.63,8.82,8.7,0.12,1.3793,146056.7,128550.465,0
1.18,1.18,1.16,1.16,1.17,-0.01,-0.8547,273632.52,31913.333,1
105.64,107.26,104.0,104.56,105.56,-1.0,-0.9473,42946.72,454196.887,0
7.8,7.89,7.75,7.84,7.81,0.03,0.3841,208558.39,163168.447,1
16.76,17.07,16.7,16.8,16.87,-0.07,-0.4149,167142.12,281728.512,1
6.55,6.71,6.47,6.53,6.63,-0.1,-1.5083,174052.89,114181.068,1
25.8,25.91,25.26,25.44,25.83,-0.39,-1.5099,152881.2,390726.527,0
24.49,24.62,23.15,23.58,24.4,-0.82,-3.3607,112270.77,264383.604,1
3.48,3.49,3.45,3.46,3.49,-0.03,-0.8596,224219.46,77754.089,1
3.41,3.42,3.34,3.36,3.4,-0.04,-1.1765,134787.1,45492.82,1
4.36,4.4,4.27,4.28,4.37,-0.09,-2.0595,23711.0,10271.946,1
4.76,4.78,4.58,4.59,4.77,-0.18,-3.7736,187358.85,87301.269,1
5.94,5.94,5.83,5.83,5.96,-0.13,-2.1812,107874.07,63412.826,1
29.98,31.17,29.8,30.1,29.98,0.12,0.4003,359240.76,1094672.419,1
4.44,4.55,4.41,4.43,4.45,-0.02,-0.4494,76523.36,34183.006,1
5.68,5.74,5.63,5.64,5.71,-0.07,-1.2259,253613.36,143899.216,1
5.16,5.23,5.14,5.16,5.18,-0.02,-0.3861,77322.83,39988.694,1
3.37,3.69,3.37,3.58,3.35,0.23,6.8657,863392.56,313275.51,1
41.26,41.94,40.6,41.48,41.05,0.43,1.0475,101916.99,422457.347,0
5.57,5.61,5.45,5.47,5.55,-0.08,-1.4414,69153.76,38058.539,1
3.33,3.35,3.31,3.32,3.34,-0.02,-0.5988,110811.56,36914.94,1
26.3,26.6,25.93,26.07,26.4,-0.33,-1.25,239846.92,629175.689,1
16.15,16.27,16.09,16.17,16.29,-0.12,-0.7366,329245.83,532222.517,1
11.61,11.71,11.54,11.59,11.64,-0.05,-0.4296,45255.62,52603.441,1
4.11,4.12,4.06,4.07,4.11,-0.04,-0.9732,379678.65,155104.758,1
11.68,12.03,11.52,12.03,11.84,0.19,1.6047,133327.56,158237.676,1
5.64,5.65,5.58,5.6,5.65,-0.05,-0.885,138964.28,78010.974,1
4.4,4.44,4.35,4.38,4.4,-0.02,-0.4545,71232.0,31190.446,1
30.31,30.74,30.0,30.22,30.48,-0.26,-0.853,50371.66,151977.482,0
7.85,7.91,7.68,7.71,7.84,-0.13,-1.6582,87562.0,68044.616,1
9.3,9.33,9.14,9.2,9.31,-0.11,-1.1815,52629.75,48529.422,1
4.89,4.89,4.39,4.74,4.87,-0.13,-2.6694,143324.07,68478.902,1
